,Unnamed: 0,readable,uganda-2019,uganda-2020,uganda-2021,uganda-2022,uganda-2023,all,stripped
211,211,"On her tour of Isimba, Nankabirwa was in the company of state minister for energy Okasai Opolot, the CEO of Uganda Electricity Generation Company Limited (UEGCL) Harrison Mutikanga and other officials from the energy ministry and UEGCL.
",0,0,1,0,0,1,tour isimba nankabirwa company state minister energy okasai opolot ceo uganda electricity generation company limit uegcl harrison mutikanga official energy ministry uegcl
212,212,"Christine Lawino, a papyrus mat maker explains that 20-years-ago, she could just take a 20-minute walk to a wetland in Layibi, and within minutes, cut reeds enough for a mat from the edge of the swamp.
",0,0,1,0,0,1,christine lawino papyrus mat maker explain year ago could take minute walk wetland layibi within minute cut reed enough mat edge swamp
213,213,"Bush burning is a traditional practice that is cherished by the Acholi.
",0,0,1,0,0,1,bush burn traditional practice cherish acholi
214,214,"For that, I am not yet able to define what shape or form our commercial film practice takes in Uganda.
",0,0,1,0,0,1,yet able define shape form commercial film practice take uganda
215,215,"As Uganda celebrates International Labour Day on 1 st May, the Uganda Registration Services Bureau (URSB) celebrates the workers of Uganda for being the champions of our nation’s national development.
",0,0,1,0,0,1,uganda celebrate international labour day st may uganda registration service bureau ursb celebrate worker uganda champion nation national development
216,216,"Uganda has only received one type of vaccines.
",0,0,1,0,0,1,uganda receive one type vaccine
217,217,"As the sun went down on January 20, news spread of the passing of Rt Rev JOHN BAPTIST KAGGWA, the bishop emeritus of Masaka.
",0,0,1,0,0,1,sun go january news spread passing rt rev john baptist kaggwa bishop emeritus masaka
218,218,"Ethiopia and Kenya have a rating of 84.88 and 84.31 each respectively the CQI reported on a grading scale of 100.
",0,0,1,0,0,1,ethiopia kenya rating respectively cqi report grade scale
219,219,"I was born in Butaleja.
",0,0,1,0,0,1,bear butaleja
220,220,"Denis Apuun who claims to be a member of the Revolutionary guard, said that the rustlers have raided more than 4,000 animals from Lotome since January and they have never recovered them.
",0,0,1,0,0,1,denis apuun claim member revolutionary guard say rustler raid animal lotome since january never recover
221,221,"There are many others, including Hope for Kabingo (HFK), founded by Comboni Missionary Father Richard Kyankaaga that focuses on a little village in southwest Uganda.
",0,0,1,0,0,1,many other include hope kabingo hfk found comboni missionary father richard kyankaaga focus little village southwest uganda
222,222,"Brunei Darussalam, a nation on the island of Borneo in two distinct sections surrounded by Malaysia and the South-China Sea took the overall lead of the best Tobacco industry interference country while in Africa Uganda came first in 14 countries followed by Kenya at 9th position.
",0,0,1,0,0,1,brunei darussalam nation island borneo two distinct section surround malaysia south china sea take overall lead good tobacco industry interference country africa uganda come first country follow kenya th position
223,223,"When Congressmen began pushing the outgone Donald Trump administration last October for a more muscular response to what they described as “human rights abuses in Uganda and the country’s slide toward authoritarianism, the lead campaigners brandished a list of errant Ugandan officers that should be sanctioned.
",0,0,1,0,0,1,congressman begin push outgone donald trump administration last october muscular response describe human right abuse uganda country slide toward authoritarianism lead campaigner brandish list errant ugandan officer sanction
