,tokens
130,"['commission', 'conclude', 'three', 'day', 'engagement', 'community', 'local', 'leader', 'karamoja', 'today']"
131,"['lugoloobi', 'among', 'three', 'minister', 'implicate', 'theft', 'iron', 'sheet', 'mean', 'benefit', 'vulnerable', 'group', 'karamoja', 'sub', 'region']"
132,"['tell', 'government', 'continue', 'spend', 'lot', 'resource', 'pacify', 'karamoja', 'short', 'period', 'stable', 'peace', 'return', 'karamoja', 'karimojong', 'child', 'forcefully', 'take', 'school', 'government', 'psychological', 'disarmament', 'say']"
133,"['propose', 'open', 'air', 'museum', 'locate', 'iriiri', 'sub', 'county', 'serve', 'one', 'stop', 'center', 'fossil', 'exhibit', 'allow', 'visitor', 'witness', 'remarkable', 'finding', 'continue', 'journey', 'explore', 'rest', 'karamoja']"
134,"['press', 'conference', 'baryomunsi', 'castigate', 'police', 'apprehend', 'minister', 'implicate', 'karamoja', 'iron', 'sheet', 'scandal', 'hour', 'produce', 'court']"
135,"['raise', 'fund', 'build', 'latrine', 'karamoja', 'august']"
136,"['mining', 'development', 'could', 'real', 'boon', 'people', 'karamoja', 'bring', 'job', 'well', 'security', 'service', 'basic', 'infrastructure', 'say', 'daniel', 'bekele', 'africa', 'director', 'human', 'right', 'watch', 'however', 'still', 'unclear', 'people', 'karamoja', 'benefit', 'mining', 'government', 'intend', 'protect', 'right', 'process']"
137,"['happen', 'first', 'batch', 'iron', 'sheet', 'procure', 'karamoja', 'early', 'june', 'cid', 'operative', 'start', 'investigate', 'kitutu', 'agne', 'nandutu', 'state', 'minister', 'karamoja', 'mismanagement', 'region', 'relief', 'item']"
138,"['nandutu', 'seek', 'criminal', 'proceeding', 'relation', 'theft', 'piece', 'iron', 'sheet', 'mean', 'empower', 'vulnerable', 'karamoja', 'community', 'halt', 'constitutional', 'court', 'rule', 'validity', 'charge', 'claim', 'vague', 'unclear', 'broad', 'enable', 'defend']"
139,"['deliver', 'homily', 'archbishop', 'paul', 'ssemogerere', 'say', 'shock', 'see', 'medium', 'report', 'people', 'karamoja', 'region', 'starve', 'other', 'survive', 'leave', 'yet', 'part', 'country', 'food', 'excess']"
140,"['mind', 'run', 'karamoja', 'end', 'visit', 'kidepo', 'national', 'park']"
141,"['dr', 'paul', 'okullo', 'director', 'nabuin', 'zonal', 'agricultural', 'research', 'development', 'institute', 'say', 'government', 'need', 'popularize', 'grow', 'commercial', 'tree', 'karamoja', 'region']"
142,"['appear', 'nbs', 'television', 'last', 'week', 'minister', 'state', 'karamoja', 'affair', 'bududa', 'district', 'mp', 'agnes', 'nandutu', 'mock', 'national', 'unity', 'platform', 'gesture', 'donate', 'food', 'item', 'karamoja', 'region', 'say', 'seek', 'cheap', 'popularity']"
143,"['good', 'note', 'karamoja', 'region', 'well', 'represent']"
144,"['motion', 'table', 'kumi', 'woman', 'mp', 'monica', 'amode', 'behalf', 'lango', 'teso', 'karamoja', 'legislator']"
145,"['graphite', 'one', 'dozen', 'different', 'mineral', 'find', 'karamoja', 'accord', 'department', 'geological', 'survey', 'mine', 'ministry', 'energy', 'mineral', 'development']"
146,"['brigadier', 'gen', 'joseph', 'balikudembe', 'updf', 'rd', 'division', 'commander', 'turn', 'request', 'say', 'leadership', 'karamoja', 'accuse', 'connive', 'cattle', 'rustler']"
